site_no,dec_lat_va,dec_long_va,qw_begin_date,qw_end_date
1460565,40.5408333,-74.5686111,3/31/1998,5/25/1999
1460590,40.53944444,-74.5136111,,
1460595,40.50777778,-74.4641667,3/31/1998,9/12/2023
1460600,40.5075,-74.4591667,8/6/2007,8/6/2007
1462040,40.3372222,-74.9386111,,
1462197,40.3372222,-74.9158333,,
1462198,40.33555556,-74.9158333,,
1462200,40.32388889,-74.9169444,5/4/1959,8/21/2012
1462320,40.31805556,-74.9041667,,
1462400,40.3108333,-74.885,11/8/2010,8/21/2012
1462500,40.295,-74.8680556,5/14/1976,5/23/1991
1462730,40.3408333,-74.8383333,8/12/1987,8/4/2008
1462733,40.33138889,-74.8361111,,
1462734,40.33055556,-74.83138889,,
1462737,40.3186111,-74.8380556,,
1462739,40.3072222,-74.8336111,11/17/1998,8/23/1999
1462740,40.30194444,-74.8330556,,
1462742,40.3197222,-74.8022222,,
1462744,40.31305556,-74.80138889,,
1462745,40.31527778,-74.8133333,,
1462747,40.31416667,-74.8144444,,
1462750,40.3075,-74.82638889,12/12/2012,8/27/2014
1462755,40.3022222,-74.83138889,,
1462756,40.30194444,-74.8325,4/14/1988,4/14/1988
1462760,40.29194444,-74.8408333,9/9/1987,11/6/1987
1462765,40.28694444,-74.8122222,,
1462770,40.2886111,-74.8280556,,
1462775,40.29,-74.84138889,,
1462800,40.2783333,-74.8536111,5/4/1959,8/11/2008
1462845,40.2233333,-74.7805556,,
1462850,40.2211111,-74.77638889,,
1462900,40.25916667,-74.8466667,,
1462930,40.2575,-74.84138889,,
1463050,40.26805556,-74.8147222,,
146305075,40.26838889,-74.81452778,,
146305080,40.26819444,-74.8145,,
146305090,40.26805556,-74.8139167,,
1463051,40.26963889,-74.8134167,,
1463052,40.2687222,-74.8136667,,
1463053,40.26827778,-74.81375,,
1463054,40.26805556,-74.81388889,,
1463060,40.26777778,-74.8122222,,
146306010,40.2706111,-74.8129722,,
146306017,40.2702222,-74.8118611,,
146306020,40.27019444,-74.8115833,,
146306040,40.2693611,-74.81175,,
146306050,40.2693611,-74.81175,,
146306055,40.2693611,-74.81175,,
1463061,40.26777778,-74.8122222,,
1463070,40.2675833,-74.8111667,,
146307020,40.27030556,-74.81125,,
146307030,40.27030556,-74.81125,,
146307035,40.27030556,-74.81125,,
146307050,40.26930556,-74.8109444,,
146307060,40.26869444,-74.81075,,
146307080,40.26816667,-74.81077778,,
1463071,40.26777778,-74.8111111,,
1463075,40.2675,-74.8105833,,
146307505,40.27002778,-74.8103333,,
146307510,40.27002778,-74.8103333,,
146307515,40.27002778,-74.8103333,,
146307530,40.2687222,-74.8101667,,
146307535,40.26941667,-74.80977778,,
146307555,40.26952778,-74.809,,
146307590,40.26802778,-74.8098611,,
1463076,40.2675,-74.8105556,,
1463079,40.2655833,-74.8052222,,
1463080,40.26527778,-74.80527778,,
1463090,40.2600833,-74.8063611,,
1463100,40.25555556,-74.8080556,,
1463120,40.25527778,-74.8080556,,
1463150,40.25,-74.8136111,,
1463180,40.2486111,-74.815,,
1463190,40.24525,-74.81988889,,
1463200,40.24416667,-74.8208333,12/7/2010,8/9/2012
1463500,40.22166667,-74.7780556,10/1/1944,11/14/2023
1463568,40.21805556,-74.56027778,7/14/1976,8/4/2011
1463587,40.21666667,-74.5608333,11/15/2012,8/25/2014
1463590,40.21944444,-74.5630556,,
1463600,40.2372222,-74.58638889,6/27/1963,6/27/1963
1463610,40.25777778,-74.61777778,8/9/1979,8/24/2004
1463620,40.2697222,-74.6719444,6/27/1963,10/30/2003
1463625,40.2683333,-74.7016667,9/30/1975,5/24/1979
1463630,40.3158333,-74.7241667,4/5/2018,8/20/2019
1463640,40.3136111,-74.71388889,,
1463650,40.29666667,-74.7061111,6/27/1963,6/27/1963
1463657,40.29388889,-74.7230556,,
1463660,40.2961111,-74.70638889,6/27/1963,6/27/1963
1463661,40.29613889,-74.7048333,12/2/2004,8/30/2006
1463666,40.27888889,-74.7016667,,
1463670,40.27388889,-74.7025,6/27/1963,6/21/1978
1463685,40.27888889,-74.7175,11/28/2012,8/11/2014
1463690,40.2683333,-74.7147222,6/27/1963,6/27/1963
1463700,40.25305556,-74.71777778,7/23/2002,12/13/2012
1463730,40.285,-74.7661111,,
1463740,40.2711111,-74.7733333,,
1463750,40.26305556,-74.76,6/27/1963,9/8/1965
1463770,40.2633333,-74.79027778,,
1463780,40.2508333,-74.7811111,,
1463790,40.2486111,-74.75638889,6/27/1963,6/27/1963
1463800,40.2536111,-74.7419444,,
1463810,40.25527778,-74.73777778,10/27/1975,8/9/2012
1463812,40.26,-74.72638889,,
1463830,40.22805556,-74.62,6/27/1963,6/27/1963
1463850,40.24694444,-74.6866667,11/25/1997,9/18/2023
1463860,40.24916667,-74.7111111,6/27/1963,5/19/1967
1463880,40.24777778,-74.7269444,6/27/1963,6/27/1963
1463882,40.2475,-74.72777778,7/23/2002,9/6/2002
1463900,40.23555556,-74.7383333,11/15/2012,8/25/2014
1463920,40.21527778,-74.69027778,12/10/2012,8/26/2014
1463960,40.2275,-74.69277778,,
1463980,40.2286111,-74.7275,6/27/1963,8/30/1968
1464000,40.22416667,-74.7491667,8/12/1923,9/6/2002
1464020,40.2172222,-74.7686111,6/28/1963,8/31/2023
1464030,40.20888889,-74.7675,,
1464040,40.18916667,-74.7558333,,
1464500,40.1372222,-74.6,7/27/1908,8/20/2020
1464502,40.14138889,-74.61638889,7/10/2009,9/8/2010
1464503,40.16,-74.65527778,11/5/2014,8/3/2015
1464504,40.1672222,-74.6775,2/4/1998,9/20/2023
1464505,40.17388889,-74.6797222,10/27/1975,5/31/1983
1464520,40.1725,-74.65888889,8/9/1979,8/9/1979
1464521,40.17638889,-74.6691667,,
1464522,40.17527778,-74.6755556,10/27/1975,5/31/1983
